version:v1.0,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname]
Cowen Bland,cowen.bland@bearnecessities.app,Temporary!83, No,Cowen,Bland
Glory Blethen,glory.blethen@bearnecessities.app,Temporary!84, No,Glory,Blethen
Kyle Boe,kyle.boe@bearnecessities.app,Temporary!85, No,Kyle,Boe
Iris Boerman,iris.boerman@bearnecessities.app,Temporary!86, No,Iris,Boerman
Kaitlyn Boggs,kaitlyn.boggs@bearnecessities.app,Temporary!87, No,Kaitlyn,Boggs
Ashley Boley,ashley.boley@bearnecessities.app,Temporary!88, No,Ashley,Boley
David Bolin,david.bolin@bearnecessities.app,Temporary!89, No,David,Bolin
Oliver Bolton,oliver.bolton@bearnecessities.app,Temporary!90, No,Oliver,Bolton
Benjamin Bonetto,benjamin.bonetto@bearnecessities.app,Temporary!91, No,Benjamin,Bonetto
Mackenzie Boose,mackenzie.boose@bearnecessities.app,Temporary!92, No,Mackenzie,Boose
Emily Bornarth,emily.bornarth@bearnecessities.app,Temporary!93, No,Emily,Bornarth
Fletcher Bottke,fletcher.bottke@bearnecessities.app,Temporary!94, No,Fletcher,Bottke
Connor Boudreau,connor.boudreau@bearnecessities.app,Temporary!95, No,Connor,Boudreau
Florian Boulay,florian.boulay@bearnecessities.app,Temporary!96, No,Florian,Boulay
Melanie Bower,melanie.bower@bearnecessities.app,Temporary!97, No,Melanie,Bower
Joshua Bowman,joshua.bowman@bearnecessities.app,Temporary!98, No,Joshua,Bowman
Mercedes Bowman,mercedes.bowman@bearnecessities.app,Temporary!99, No,Mercedes,Bowman
Lydia Boyer,lydia.boyer@bearnecessities.app,Temporary!100, No,Lydia,Boyer
Carter Boykin-Holland,carter.boykin-holland@bearnecessities.app,Temporary!101, No,Carter,Boykin-Holland
Elizabeth Boyson,elizabeth.boyson@bearnecessities.app,Temporary!102, No,Elizabeth,Boyson
Harlan Brady,harlan.brady@bearnecessities.app,Temporary!103, No,Harlan,Brady
Maximos Brady,maximos.brady@bearnecessities.app,Temporary!104, No,Maximos,Brady
John Bragaw,john.bragaw@bearnecessities.app,Temporary!105, No,John,Bragaw
Garrett Bragg,garrett.bragg@bearnecessities.app,Temporary!106, No,Garrett,Bragg
Jazmyn Brandon,jazmyn.brandon@bearnecessities.app,Temporary!107, No,Jazmyn,Brandon
Magnum Brandt,magnum.brandt@bearnecessities.app,Temporary!108, No,Magnum,Brandt
Julia Breidenthal,julia.breidenthal@bearnecessities.app,Temporary!109, No,Julia,Breidenthal
Tessa Breitbart,tessa.breitbart@bearnecessities.app,Temporary!110, No,Tessa,Breitbart
Brooks Brennan,brooks.brennan@bearnecessities.app,Temporary!111, No,Brooks,Brennan
Genevieve Brewer,genevieve.brewer@bearnecessities.app,Temporary!112, No,Genevieve,Brewer
Rylie Brick,rylie.brick@bearnecessities.app,Temporary!113, No,Rylie,Brick
Emma Briggs,emma.briggs@bearnecessities.app,Temporary!114, No,Emma,Briggs
Mollie Brinker,mollie.brinker@bearnecessities.app,Temporary!115, No,Mollie,Brinker
Cameron Brown,cameron.brown@bearnecessities.app,Temporary!116, No,Cameron,Brown
Cleveland Brown,cleveland.brown@bearnecessities.app,Temporary!117, No,Cleveland,Brown
Ethan Brown,ethan.brown@bearnecessities.app,Temporary!118, No,Ethan,Brown
Jacob Brown,jacob.brown@bearnecessities.app,Temporary!119, No,Jacob,Brown
Roseann Brown,roseann.brown@bearnecessities.app,Temporary!120, No,Roseann,Brown
MacKenzie Bucki,mackenzie.bucki@bearnecessities.app,Temporary!121, No,MacKenzie,Bucki
Anna Buelt,anna.buelt@bearnecessities.app,Temporary!122, No,Anna,Buelt
Van Buhrman,van.buhrman@bearnecessities.app,Temporary!123, No,Van,Buhrman
Karagan Bulger,karagan.bulger@bearnecessities.app,Temporary!124, No,Karagan,Bulger
Samuel Bunch,samuel.bunch@bearnecessities.app,Temporary!125, No,Samuel,Bunch
Jackson Burrows,jackson.burrows@bearnecessities.app,Temporary!126, No,Jackson,Burrows
Trevor Bush,trevor.bush@bearnecessities.app,Temporary!127, No,Trevor,Bush
Nicholas Butler,nicholas.butler@bearnecessities.app,Temporary!128, No,Nicholas,Butler
Thomas Butler,thomas.butler@bearnecessities.app,Temporary!129, No,Thomas,Butler
Andrew Buzzelli,andrew.buzzelli@bearnecessities.app,Temporary!130, No,Andrew,Buzzelli
Emelia Campbell,emelia.campbell@bearnecessities.app,Temporary!131, No,Emelia,Campbell
Dedime Campos,dedime.campos@bearnecessities.app,Temporary!132, No,Dedime,Campos
Tristen Carbonell,tristen.carbonell@bearnecessities.app,Temporary!133, No,Tristen,Carbonell
Michael Carden,michael.carden@bearnecessities.app,Temporary!134, No,Michael,Carden
Christine Carey,christine.carey@bearnecessities.app,Temporary!135, No,Christine,Carey
Benjamin Carlander,benjamin.carlander@bearnecessities.app,Temporary!136, No,Benjamin,Carlander
Dillon Carmen,dillon.carmen@bearnecessities.app,Temporary!137, No,Dillon,Carmen
Thomas Carney,thomas.carney@bearnecessities.app,Temporary!138, No,Thomas,Carney
Jake Carpenter,jake.carpenter@bearnecessities.app,Temporary!139, No,Jake,Carpenter
Matthew Carper,matthew.carper@bearnecessities.app,Temporary!140, No,Matthew,Carper
Kieth Nico Carreon,kiethnico.carreon@bearnecessities.app,Temporary!141, No,Kieth Nico,Carreon
Princess Kristel Carreon,princesskristel.carreon@bearnecessities.app,Temporary!142, No,Princess Kristel,Carreon
John Carroll,john.carroll@bearnecessities.app,Temporary!143, No,John,Carroll
Samuel Carroll,samuel.carroll@bearnecessities.app,Temporary!144, No,Samuel,Carroll
Gillian Cascio,gillian.cascio@bearnecessities.app,Temporary!145, No,Gillian,Cascio
Noah Caskey,noah.caskey@bearnecessities.app,Temporary!146, No,Noah,Caskey
Junna Castel,junna.castel@bearnecessities.app,Temporary!147, No,Junna,Castel
Quintin Castelli,quintin.castelli@bearnecessities.app,Temporary!148, No,Quintin,Castelli
David Castiglione,david.castiglione@bearnecessities.app,Temporary!149, No,David,Castiglione
Ebenezer Castleman,ebenezer.castleman@bearnecessities.app,Temporary!150, No,Ebenezer,Castleman
Omar Castro,omar.castro@bearnecessities.app,Temporary!151, No,Omar,Castro
Aiana Cayao,aiana.cayao@bearnecessities.app,Temporary!152, No,Aiana,Cayao
Preston Cecotti,preston.cecotti@bearnecessities.app,Temporary!153, No,Preston,Cecotti
Jake Chambers,jake.chambers@bearnecessities.app,Temporary!154, No,Jake,Chambers
Eli Chapman,eli.chapman@bearnecessities.app,Temporary!155, No,Eli,Chapman
Joseph Chapman,joseph.chapman@bearnecessities.app,Temporary!156, No,Joseph,Chapman
James Chase,james.chase@bearnecessities.app,Temporary!157, No,James,Chase
Joseph Chavez,joseph.chavez@bearnecessities.app,Temporary!158, No,Joseph,Chavez
Luke Cherry,luke.cherry@bearnecessities.app,Temporary!159, No,Luke,Cherry
Brandon Chhoeung,brandon.chhoeung@bearnecessities.app,Temporary!160, No,Brandon,Chhoeung
Carson Cho,carson.cho@bearnecessities.app,Temporary!161, No,Carson,Cho
Sarah Choe,sarah.choe@bearnecessities.app,Temporary!162, No,Sarah,Choe
Alejandro Christopher,alejandro.christopher@bearnecessities.app,Temporary!163, No,Alejandro,Christopher
Paraskevi Christopoulos,paraskevi.christopoulos@bearnecessities.app,Temporary!164, No,Paraskevi,Christopoulos
Joseph Church,joseph.church@bearnecessities.app,Temporary!165, No,Joseph,Church
Megan Churm,megan.churm@bearnecessities.app,Temporary!166, No,Megan,Churm
Gavin Clark,gavin.clark@bearnecessities.app,Temporary!167, No,Gavin,Clark
Samuel Clark,samuel.clark@bearnecessities.app,Temporary!168, No,Samuel,Clark
Matthew Clarke,matthew.clarke@bearnecessities.app,Temporary!169, No,Matthew,Clarke
Jack Clements,jack.clements@bearnecessities.app,Temporary!170, No,Jack,Clements
Jonathan Clifford,jonathan.clifford@bearnecessities.app,Temporary!171, No,Jonathan,Clifford
Caitlyn Coates,caitlyn.coates@bearnecessities.app,Temporary!172, No,Caitlyn,Coates
Taylor Cole,taylor.cole@bearnecessities.app,Temporary!173, No,Taylor,Cole
Gabriela Collazo,gabriela.collazo@bearnecessities.app,Temporary!174, No,Gabriela,Collazo
Matthew Condon,matthew.condon@bearnecessities.app,Temporary!175, No,Matthew,Condon
Julia Conneely,julia.conneely@bearnecessities.app,Temporary!176, No,Julia,Conneely
Lauren Conner,lauren.conner@bearnecessities.app,Temporary!177, No,Lauren,Conner
Charles Cook,charles.cook@bearnecessities.app,Temporary!178, No,Charles,Cook
Jaeden Coons,jaeden.coons@bearnecessities.app,Temporary!179, No,Jaeden,Coons
Gabriel Cooper,gabriel.cooper@bearnecessities.app,Temporary!180, No,Gabriel,Cooper
Graham Copeland,graham.copeland@bearnecessities.app,Temporary!181, No,Graham,Copeland
Josephine Copeland,josephine.copeland@bearnecessities.app,Temporary!182, No,Josephine,Copeland
Walker Corbin,walker.corbin@bearnecessities.app,Temporary!183, No,Walker,Corbin
Nathan Corr,nathan.corr@bearnecessities.app,Temporary!184, No,Nathan,Corr
Emily Cortes,emily.cortes@bearnecessities.app,Temporary!185, No,Emily,Cortes
William Cory,william.cory@bearnecessities.app,Temporary!186, No,William,Cory
Miguel Cotto,miguel.cotto@bearnecessities.app,Temporary!187, No,Miguel,Cotto
Abraham Countryman,abraham.countryman@bearnecessities.app,Temporary!188, No,Abraham,Countryman
Zoe Cousineau,zoe.cousineau@bearnecessities.app,Temporary!189, No,Zoe,Cousineau
Benjamin Coutu,benjamin.coutu@bearnecessities.app,Temporary!190, No,Benjamin,Coutu
Elliot Cowles,elliot.cowles@bearnecessities.app,Temporary!191, No,Elliot,Cowles
Mckenna Cowles,mckenna.cowles@bearnecessities.app,Temporary!192, No,Mckenna,Cowles
Morgan Coyle,morgan.coyle@bearnecessities.app,Temporary!193, No,Morgan,Coyle
Christina Cross,christina.cross@bearnecessities.app,Temporary!194, No,Christina,Cross
Victoria Cross,victoria.cross@bearnecessities.app,Temporary!195, No,Victoria,Cross
Ramon Cruz,ramon.cruz@bearnecessities.app,Temporary!196, No,Ramon,Cruz
Jael Cuellar,jael.cuellar@bearnecessities.app,Temporary!197, No,Jael,Cuellar
Jack Cura,jack.cura@bearnecessities.app,Temporary!198, No,Jack,Cura
Daniel Curbelo,daniel.curbelo@bearnecessities.app,Temporary!199, No,Daniel,Curbelo
Tyrese Dalmida,tyrese.dalmida@bearnecessities.app,Temporary!200, No,Tyrese,Dalmida
Davis Daughtry,davis.daughtry@bearnecessities.app,Temporary!201, No,Davis,Daughtry
Jack Davidson,jack.davidson@bearnecessities.app,Temporary!202, No,Jack,Davidson
Laurel Davis,laurel.davis@bearnecessities.app,Temporary!203, No,Laurel,Davis
Paul Davis,paul.davis@bearnecessities.app,Temporary!204, No,Paul,Davis
Emily Davis-Morin,emily.davis-morin@bearnecessities.app,Temporary!205, No,Emily,Davis-Morin
Roxanna De Alba,roxanna.dealba@bearnecessities.app,Temporary!206, No,Roxanna,De Alba
Logan De Los Santos,logan.delossantos@bearnecessities.app,Temporary!207, No,Logan,De Los Santos
Benjamin de Ondarza,benjamin.deondarza@bearnecessities.app,Temporary!208, No,Benjamin,de Ondarza
Connor Decatur,connor.decatur@bearnecessities.app,Temporary!209, No,Connor,Decatur
Myles DeCoste,myles.decoste@bearnecessities.app,Temporary!210, No,Myles,DeCoste
Emma Deery,emma.deery@bearnecessities.app,Temporary!211, No,Emma,Deery
Micaela DeGennaro,micaela.degennaro@bearnecessities.app,Temporary!212, No,Micaela,DeGennaro
Maria del Rosario Chan,maria.delrosariochan@bearnecessities.app,Temporary!213, No,Maria,del Rosario Chan
Allianne Matthew Dela Vega,alliannematthew.delavega@bearnecessities.app,Temporary!214, No,Allianne Matthew,Dela Vega
Blake Delevan,blake.delevan@bearnecessities.app,Temporary!215, No,Blake,Delevan
Mary Delfino,mary.delfino@bearnecessities.app,Temporary!216, No,Mary,Delfino
Robert DeLillo,robert.delillo@bearnecessities.app,Temporary!217, No,Robert,DeLillo
Alex Denaroso,alex.denaroso@bearnecessities.app,Temporary!218, No,Alex,Denaroso
Chase Denton,chase.denton@bearnecessities.app,Temporary!219, No,Chase,Denton
Jack Derry,jack.derry@bearnecessities.app,Temporary!220, No,Jack,Derry
Broock Desta,broock.desta@bearnecessities.app,Temporary!221, No,Broock,Desta
Xavier DiGennaro,xavier.digennaro@bearnecessities.app,Temporary!222, No,Xavier,DiGennaro
Carl DiGiorgio,carl.digiorgio@bearnecessities.app,Temporary!223, No,Carl,DiGiorgio
Lillian Disque,lillian.disque@bearnecessities.app,Temporary!224, No,Lillian,Disque
Jackson Doherty,jackson.doherty@bearnecessities.app,Temporary!225, No,Jackson,Doherty
Allison Donovan,allison.donovan@bearnecessities.app,Temporary!226, No,Allison,Donovan
Jackson Dorsey,jackson.dorsey@bearnecessities.app,Temporary!227, No,Jackson,Dorsey
Ryan Doty,ryan.doty@bearnecessities.app,Temporary!228, No,Ryan,Doty
Megan Doubrava,megan.doubrava@bearnecessities.app,Temporary!229, No,Megan,Doubrava
Bridget Dougherty,bridget.dougherty@bearnecessities.app,Temporary!230, No,Bridget,Dougherty
Darrah Downing,darrah.downing@bearnecessities.app,Temporary!231, No,Darrah,Downing
Reagan Doyle,reagan.doyle@bearnecessities.app,Temporary!232, No,Reagan,Doyle
Hope Drake Duval,hope.drakeduval@bearnecessities.app,Temporary!233, No,Hope,Drake Duval
Sean Dreher,sean.dreher@bearnecessities.app,Temporary!234, No,Sean,Dreher
Elena Dreier,elena.dreier@bearnecessities.app,Temporary!235, No,Elena,Dreier
Avri Dressback,avri.dressback@bearnecessities.app,Temporary!236, No,Avri,Dressback
Gustava Drew,gustava.drew@bearnecessities.app,Temporary!237, No,Gustava,Drew
Jeremy Dryer,jeremy.dryer@bearnecessities.app,Temporary!238, No,Jeremy,Dryer
Phoebe DuBois,phoebe.dubois@bearnecessities.app,Temporary!239, No,Phoebe,DuBois
Maeve Duffin,maeve.duffin@bearnecessities.app,Temporary!240, No,Maeve,Duffin
Carol Duffy,carol.duffy@bearnecessities.app,Temporary!241, No,Carol,Duffy
Leanara Dukat,leanara.dukat@bearnecessities.app,Temporary!242, No,Leanara,Dukat
Jadon Koa Dumlao,jadonkoa.dumlao@bearnecessities.app,Temporary!243, No,Jadon Koa,Dumlao
Shaley Dunn,shaley.dunn@bearnecessities.app,Temporary!244, No,Shaley,Dunn
Benjamin Dush,benjamin.dush@bearnecessities.app,Temporary!245, No,Benjamin,Dush
Wyatt Duthu,wyatt.duthu@bearnecessities.app,Temporary!246, No,Wyatt,Duthu
Bode Dykens,bode.dykens@bearnecessities.app,Temporary!247, No,Bode,Dykens
Cassie Eagle,cassie.eagle@bearnecessities.app,Temporary!248, No,Cassie,Eagle
Jacob Earnshaw,jacob.earnshaw@bearnecessities.app,Temporary!249, No,Jacob,Earnshaw
Ethan Easley,ethan.easley@bearnecessities.app,Temporary!250, No,Ethan,Easley
Sean Edghill,sean.edghill@bearnecessities.app,Temporary!251, No,Sean,Edghill
Levi Edmonds,levi.edmonds@bearnecessities.app,Temporary!252, No,Levi,Edmonds
Grace Edmondson,grace.edmondson@bearnecessities.app,Temporary!253, No,Grace,Edmondson
Agustus Edwards,agustus.edwards@bearnecessities.app,Temporary!254, No,Agustus,Edwards
Micheal Edwards,micheal.edwards@bearnecessities.app,Temporary!255, No,Micheal,Edwards
James Eichelberger,james.eichelberger@bearnecessities.app,Temporary!256, No,James,Eichelberger
Max Eisenbeiser,max.eisenbeiser@bearnecessities.app,Temporary!257, No,Max,Eisenbeiser
Rillian Eisenbeiser,rillian.eisenbeiser@bearnecessities.app,Temporary!258, No,Rillian,Eisenbeiser
Jack Elgas,jack.elgas@bearnecessities.app,Temporary!259, No,Jack,Elgas
Martha Enestvedt,martha.enestvedt@bearnecessities.app,Temporary!260, No,Martha,Enestvedt
Brenden Engstrom,brenden.engstrom@bearnecessities.app,Temporary!261, No,Brenden,Engstrom
Nicholas Esmond,nicholas.esmond@bearnecessities.app,Temporary!262, No,Nicholas,Esmond
Luke Fairweather,luke.fairweather@bearnecessities.app,Temporary!263, No,Luke,Fairweather
Brendan Fant,brendan.fant@bearnecessities.app,Temporary!264, No,Brendan,Fant
Helena Farias,helena.farias@bearnecessities.app,Temporary!265, No,Helena,Farias
Lillia Farlow,lillia.farlow@bearnecessities.app,Temporary!266, No,Lillia,Farlow
Luke Farrell,luke.farrell@bearnecessities.app,Temporary!267, No,Luke,Farrell
Keith Fatula,keith.fatula@bearnecessities.app,Temporary!268, No,Keith,Fatula
Patrick Feely,patrick.feely@bearnecessities.app,Temporary!269, No,Patrick,Feely
Paige Felkins,paige.felkins@bearnecessities.app,Temporary!270, No,Paige,Felkins
Madeline Fender,madeline.fender@bearnecessities.app,Temporary!271, No,Madeline,Fender
Tyson Fenn,tyson.fenn@bearnecessities.app,Temporary!272, No,Tyson,Fenn
Andrew Ferderer,andrew.ferderer@bearnecessities.app,Temporary!273, No,Andrew,Ferderer
Liliana Feyk,liliana.feyk@bearnecessities.app,Temporary!274, No,Liliana,Feyk
Annabelle Figueroa,annabelle.figueroa@bearnecessities.app,Temporary!275, No,Annabelle,Figueroa
Charles Fish,charles.fish@bearnecessities.app,Temporary!276, No,Charles,Fish
Jake Fish,jake.fish@bearnecessities.app,Temporary!277, No,Jake,Fish
Holly Fishel,holly.fishel@bearnecessities.app,Temporary!278, No,Holly,Fishel
Nathan Fitt,nathan.fitt@bearnecessities.app,Temporary!279, No,Nathan,Fitt
Conner FitzMaurice,conner.fitzmaurice@bearnecessities.app,Temporary!280, No,Conner,FitzMaurice
Jahi Fleet,jahi.fleet@bearnecessities.app,Temporary!281, No,Jahi,Fleet
Ryella Allyssa Flores,ryellaallyssa.flores@bearnecessities.app,Temporary!282, No,Ryella Allyssa,Flores
Josue Flores Bencomo,josue.floresbencomo@bearnecessities.app,Temporary!283, No,Josue,Flores Bencomo
Miguel Flowers,miguel.flowers@bearnecessities.app,Temporary!284, No,Miguel,Flowers
Christopher Flynn,christopher.flynn@bearnecessities.app,Temporary!285, No,Christopher,Flynn
Grace Flynn,grace.flynn@bearnecessities.app,Temporary!286, No,Grace,Flynn
Madison Foht,madison.foht@bearnecessities.app,Temporary!287, No,Madison,Foht
Nicholas Folkes,nicholas.folkes@bearnecessities.app,Temporary!288, No,Nicholas,Folkes
Madeline Fontana,madeline.fontana@bearnecessities.app,Temporary!289, No,Madeline,Fontana
Mia Forti,mia.forti@bearnecessities.app,Temporary!290, No,Mia,Forti
Anthony Fotos,anthony.fotos@bearnecessities.app,Temporary!291, No,Anthony,Fotos
Robert Fowler,robert.fowler@bearnecessities.app,Temporary!292, No,Robert,Fowler
Joshua France,joshua.france@bearnecessities.app,Temporary!293, No,Joshua,France
Kaela France,kaela.france@bearnecessities.app,Temporary!294, No,Kaela,France
Sean Francis,sean.francis@bearnecessities.app,Temporary!295, No,Sean,Francis
Jordan Frazer,jordan.frazer@bearnecessities.app,Temporary!296, No,Jordan,Frazer
Daniel Fredericks,daniel.fredericks@bearnecessities.app,Temporary!297, No,Daniel,Fredericks
Grant Freeman,grant.freeman@bearnecessities.app,Temporary!298, No,Grant,Freeman
Benjamin French,benjamin.french@bearnecessities.app,Temporary!299, No,Benjamin,French
Jackson Frizzell,jackson.frizzell@bearnecessities.app,Temporary!300, No,Jackson,Frizzell
Connor Fulbright,connor.fulbright@bearnecessities.app,Temporary!301, No,Connor,Fulbright
Trent Fulbright,trent.fulbright@bearnecessities.app,Temporary!302, No,Trent,Fulbright
Cole Fulton,cole.fulton@bearnecessities.app,Temporary!303, No,Cole,Fulton
Darius Gadsden,darius.gadsden@bearnecessities.app,Temporary!304, No,Darius,Gadsden
Charles Gaines,charles.gaines@bearnecessities.app,Temporary!305, No,Charles,Gaines
Sophia Galdamez,sophia.galdamez@bearnecessities.app,Temporary!306, No,Sophia,Galdamez
Julia Gallinger,julia.gallinger@bearnecessities.app,Temporary!307, No,Julia,Gallinger
Zachary Gamble,zachary.gamble@bearnecessities.app,Temporary!308, No,Zachary,Gamble
Aidan Garcia,aidan.garcia@bearnecessities.app,Temporary!309, No,Aidan,Garcia
